    0.499757349491119385E+02    0.966362535953521729E+00   -0.714218841109198138E+03   -0.690775511231546968E+01    1
    0.497389912605285645E+02    0.967533707618713379E+00   -0.707788355220930498E+03   -0.690875511231548245E+01    1
    0.490346938371658325E+02    0.967990636825561523E+00   -0.683210215167192246E+03   -0.690975511231547301E+01    1
    0.491513669490814209E+02    0.958947360515594482E+00   -0.671009357410275811E+03   -0.691075511231547601E+01    1
    0.478634029626846313E+02    0.980376780033111572E+00   -0.663360039225951027E+03   -0.691175511231546658E+01    1
    0.488953918218612671E+02    0.955219328403472900E+00   -0.655430821794961275E+03   -0.691275511231547579E+01    1
    0.455106198787689209E+02    0.975115835666656494E+00   -0.573863715202482581E+03   -0.691375511231547435E+01    1
    0.465135961771011353E+02    0.953673601150512695E+00   -0.573208788440935791E+03   -0.691475511231548357E+01    1
    0.478060036897659302E+02    0.927194714546203613E+00   -0.572081343792712005E+03   -0.691575511231552209E+01    1
    0.499003678560256958E+02    0.885690271854400635E+00   -0.567719318492742786E+03   -0.691675511231554463E+01    1
    0.454201877117156982E+02    0.962349772453308105E+00   -0.551455613742833179E+03   -0.691775511231549967E+01    1
    0.440753996372222900E+02    0.987862706184387207E+00   -0.545835455379742370E+03   -0.691875511231549378E+01    1
    0.445251345634460449E+02    0.965503752231597900E+00   -0.527773554400411285E+03   -0.691975511231551454E+01    1
    0.449015736579895020E+02    0.947002232074737549E+00   -0.512700734885606266E+03   -0.692075511231548113E+01    1
    0.496507823467254639E+02    0.849229812622070312E+00   -0.501333724608742614E+03   -0.692175511231547080E+01    1
    0.492491573095321655E+02    0.845168709754943848E+00   -0.484346917941763877E+03   -0.692275511231549334E+01    1
    0.473632723093032837E+02    0.878772199153900146E+00   -0.484274720359293269E+03   -0.692375511231548746E+01    1
    0.443880617618560791E+02    0.928727507591247559E+00   -0.471994806804564973E+03   -0.692475511231548957E+01    1
    0.434701770544052124E+02    0.944348812103271484E+00   -0.466682107942292987E+03   -0.692575511231552365E+01    1
    0.410060018301010132E+02    0.997580528259277344E+00   -0.462286407656220774E+03   -0.692675511231553909E+01    1
    0.449726223945617676E+02    0.908699810504913330E+00   -0.461065606145490221E+03   -0.692775511231552343E+01    1
    0.464860260486602783E+02    0.871416032314300537E+00   -0.450260088891866076E+03   -0.692875511231550334E+01    1
    0.461289435625076294E+02    0.872537612915039062E+00   -0.442508589784199899E+03   -0.692975511231548769E+01    1
    0.413760870695114136E+02    0.969288408756256104E+00   -0.438238717619900569E+03   -0.693075511231546315E+01    1
    0.495616137981414795E+02    0.806799352169036865E+00   -0.434720292339328523E+03   -0.693175511231550789E+01    1
    0.411273479461669922E+02    0.966775119304656982E+00   -0.428100038351411570E+03   -0.693275511231550912E+01    1
    0.398017227649688721E+02    0.997536480426788330E+00   -0.426427183639254793E+03   -0.693375511231550057E+01    1
